Designator,Mid X,Mid Y,Rotation,Layer
C1,142.2,-64.25,0,top
C10,108,-56.25,90,top
C11,122.02,-108,0,top
C12,123.75,-97.25,180,top
C13,111.5,-62.75,270,top
C17,127.975,-71,180,top
C18,131.02,-102.75,0,top
C21,146.2,-82,180,top
C22,146.4,-93.85,270,top
C3,137.525,-57,0,top
C5,118.75,-61,90,top
C7,110.25,-74,0,top
C9,93.775,-60,0,top
D1,168.25,-56,0,top
D2,173.25,-56,0,top
D3,151.35,-80.4,0,top
R1,144.5,-58.75,90,top
R10,103.5,-62.5,0,top
R11,103.25,-56.25,180,top
R12,93.3375,-56.25,180,top
R13,98.0375,-56.25,180,top
R14,125.2875,-87.75,0,top
R15,147.7375,-98.6,180,top
R16,138.75,-97,0,top
R17,132.5,-97,180,top
R18,153.8,-101.6,0,top
R19,131.5,-87.75,0,top
R2,136.7875,-87.75,0,top
R20,126.5,-104.7125,270,top
R21,135,-82.4,270,top
R22,113.2875,-78.25,180,top
R23,140.6,-79.2,180,top
R24,152,-60.6,180,top
R25,152,-67,0,top
R3,131.2875,-64.75,0,top
R4,152.3,-56.75,0,top
R5,121.75,-62.9625,90,top
R6,116,-66.25,0,top
R7,109.5,-68.5,270,top
R8,122.075,-104,0,top
R9,121.5,-56.2125,270,top
U3,113.975,-58.155,180,top
U4,144.725,-86.505,0,top
